Date,Carney,Poilievre,Blanchet,Davies,May,Bernier
2025-07-18,60.83832335329341,29.34131736526946,3.952095808383233,1.6766467065868262,2.51497005988024,1.6766467065868262
2025-07-11,61.36631330977621,29.681978798586574,3.0624263839811547,2.1201413427561837,2.1201413427561837,1.6489988221436984
2025-07-04,61.75771971496437,29.097387173396672,3.2066508313539197,2.9691211401425175,1.3064133016627077,1.66270783847981
2025-07-02,53.40909090909091,35.22727272727273,3.4090909090909087,4.545454545454546,2.272727272727273,1.1363636363636365
2025-06-27,62.73809523809525,27.261904761904766,2.9761904761904767,2.61904761904762,2.5000000000000004,1.9047619047619053
2025-06-20,62.99879081015719,28.053204353083434,2.7811366384522365,3.3857315598548965,1.0882708585247884,1.6928657799274482
2025-06-13,59.66386554621849,29.051620648259295,4.081632653061225,3.0012004801920766,2.4009603841536613,1.800720288115246
2025-06-06,57.89473684210527,29.862700228832956,3.5469107551487418,3.4324942791762014,3.203661327231121,2.0594965675057213
2025-05-30,54.48275862068965,32.643678160919535,4.3678160919540225,3.5632183908045976,2.7586206896551726,2.1839080459770113
2025-05-23,50.77605321507759,37.80487804878048,4.323725055432372,2.4390243902439024,2.7716186252771613,1.8847006651884695
2025-05-22,51.19047619047619,35.714285714285715,3.571428571428571,4.761904761904762,2.380952380952381,2.380952380952381
2025-05-16,50.05336179295624,39.91462113127,3.4151547491995733,2.88153681963714,2.454642475987193,1.2806830309498398
2025-05-09,49.3684210526316,41.36842105263159,3.2631578947368434,2.9473684210526323,1.8947368421052637,1.1578947368421058
