Date,Con,Lab,Lib Dem,SNP,Green,Reform
19 Jan 2023,24%,50%,8%,4%,5%,5%
19 Jan 2023,27%,46%,9%,4%,5%,6%
18 Jan 2023,21%,45%,9%,5%,9%,8%
16 Jan 2023,29%,45%,10%,5%,5%,4%
15 Jan 2023,27%,47%,10%,4%,5%,6%
13 Jan 2023,29%,45%,9%,3%,5%,6%
12 Jan 2023,26%,47%,8%,4%,5%,7%
12 Jan 2023,28%,48%,7%,4%,7%,3%
11 Jan 2023,21%,48%,8%,5%,7%,7%
11 Jan 2023,25%,47%,9%,5%,5%,7%
8 Jan 2023,26%,48%,9%,4%,5%,6%
8 Jan 2023,31%,45%,9%,3%,5%,3%
6 Jan 2023,27%,49%,10%,4%,4%,4%
5 Jan 2023,25%,46%,9%,5%,6%,7%
5 Jan 2023,25%,46%,9%,4%,5%,8%
4 Jan 2023,22%,46%,7%,5%,7%,8%
3 Jan 2023,27%,47%,12%,4%,3%,5%
28 Dec 2022,19%,45%,8%,6%,9%,8%
22 Dec 2022,25%,51%,7%,4%,5%,6%
22 Dec 2022,28%,45%,8%,4%,5%,7%
21 Dec 2022,22%,46%,8%,5%,6%,8%
21 Dec 2022,24%,48%,9%,4%,5%,8%
18 Dec 2022,28%,45%,9%,5%,3%,5%
16 Dec 2022,29%,44%,9%,3%,5%,8%
15 Dec 2022,26%,47%,9%,5%,6%,6%
15 Dec 2022,23%,48%,8%,5%,5%,9%
15 Dec 2022,28%,46%,9%,3%,5%,6%
14 Dec 2022,24%,45%,7%,5%,6%,7%
13 Dec 2022,23%,49%,13%,5%,3%,2%
12 Dec 2022,29%,46%,9%,5%,5%,4%
12 Dec 2022,32%,45%,9%,5%,5%,4%
11 Dec 2022,29%,46%,9%,3%,5%,7%
11 Dec 2022,29%,45%,8%,3%,3%,6%
9 Dec 2022,30%,48%,9%,2%,6%,4%
7 Dec 2022,20%,47%,8%,5%,6%,9%
8 Dec 2022,27%,48%,9%,4%,4%,5%
7 Dec 2022,24%,48%,9%,4%,5%,8%
5 Dec 2022,28%,48%,10%,4%,4%,4%
5 Dec 2022,28%,48%,11%,-,3%,4%
4 Dec 2022,26%,48%,10%,3%,6%,5%
4 Dec 2022,31%,42%,10%,4%,3%,5%
2 Dec 2022,25%,48%,9%,4%,6%,5%
 2 Dec 2022,29%,43%,8%,4%,6%,6%
1 Dec 2022,26%,49%,10%,4%,4%,5%
 1 Dec 2022,28%,46%,10%,4%,5%,6%
30 Nov 2022,21%,46%,7%,5%,9%,7%
30 Nov 2022,22%,47%,9%,4%,5%,9%
28 Nov 2022,30%,48%,10%,3%,3%,4%
27 Nov 2022,27%,47%,11%,3%,5%,5%
27 Nov 2022,26%,47%,10%,4%,2%,5%
24 Nov 2022,25%,49%,9%,3%,5%,6%
24 Nov 2022,27%,50%,9%,4%,4%,-
23 Nov 2022,24%,44%,8%,5%,8%,5%
23 Nov 2022,25%,48%,9%,4%,5%,5%
21 Nov 2022,30%,45%,8%,5%,4%,5%
20 Nov 2022,28%,49%,9%,4%,4%,5%
20 Nov 2022,28%,46%,10%,3%,3%,3%
19 Nov 2022,25%,51%,9%,3%,4%,4%
18 Nov 2022,21%,47%,10%,5%,7%,6%
18 Nov 2022,28%,45%,9%,3%,4%,6%
18 Nov 2022,21%,48%,10%,5%,7%,5%
17 Nov 2022,28%,50%,8%,4%,4%,-
17 Nov 2022,27%,48%,10%,5%,4%,5%
16 Nov 2022,26%,47%,9%,5%,5%,6%
16 Nov 2022,29%,50%,7%,5%,3%,2%
14 Nov 2022,27%,50%,6%,5%,6%,3%
13 Nov 2022,26%,50%,9%,3%,5%,4%
