Date,Red,Blue
2025-05-05,0.519453207150368,0.48054679284963203
2025-05-02,0.5268041237113401,0.47319587628865983
2025-04-21,0.5425311203319502,0.4574688796680498
2025-04-07,0.5258264462809917,0.47417355371900827
2025-04-07,0.5078698845750262,0.4921301154249738
2025-04-02,0.4817136886102404,0.5182863113897597
2025-04-01,0.5239085239085238,0.4760914760914761
2025-03-31,0.5231243576567317,0.47687564234326824
2025-03-31,0.46786090621707066,0.5321390937829293
2025-03-12,0.5057351407716371,0.4942648592283629
2025-03-10,0.4742268041237113,0.5257731958762887
2025-03-08,0.5020703933747412,0.49792960662525887
2025-03-05,0.4751552795031056,0.5248447204968945
2025-03-04,0.5020703933747412,0.49792960662525876
2025-03-03,0.49329205366357065,0.5067079463364293
2025-02-28,0.49896265560165975,0.5010373443983402
2025-02-16,0.49221183800623053,0.5077881619937694
2025-02-08,0.5175619834710743,0.4824380165289256
2025-02-06,0.48049281314168374,0.5195071868583162
2025-02-05,0.5241521068859198,0.47584789311408016
2025-02-05,0.48098663926002055,0.5190133607399794
2025-02-04,0.46810699588477367,0.5318930041152264
2025-02-03,0.4244897959183674,0.5755102040816327
2025-02-03,0.47280334728033474,0.5271966527196653
2025-01-31,0.46575342465753417,0.5342465753424658
2025-01-30,0.45559038662486934,0.5444096133751307
2025-01-20,0.428421052631579,0.5715789473684211
2025-01-13,0.44698544698544707,0.553014553014553
2025-01-13,0.4072164948453608,0.5927835051546392
2025-01-10,0.4341164453524004,0.5658835546475995
2025-01-08,0.44952178533475035,0.5504782146652497
2025-01-06,0.45010395010395005,0.5498960498960499
2025-01-06,0.432882414151925,0.567117585848075
2024-12-14,0.4051813471502591,0.5948186528497409
2024-12-09,0.44016649323621226,0.5598335067637878
2024-12-09,0.42323651452282157,0.5767634854771784
2024-12-09,0.39624608967674657,0.6037539103232533
2024-12-04,0.42171189979123175,0.5782881002087683
2024-12-03,0.4393782383419689,0.5606217616580311
2024-12-02,0.43827160493827166,0.5617283950617284
