Date,Mehrheit
2023-09-25,43.5
2023-09-25,43.0
2023-09-25,42.5
2023-09-22,43.0
2023-09-19,43.5
2023-09-18,42.5
2023-09-18,43.5
2023-09-18,43.0
2023-09-15,43.0
2023-09-15,44.0
2023-09-14,43.0
2023-09-13,44.0
2023-09-12,43.0
2023-09-11,43.75
2023-09-11,42.5
2023-09-08,43.5
2023-09-06,41.0
2023-09-05,42.5
2023-09-04,43.25
2023-09-04,42.5
2023-09-03,46.0
2023-09-01,43.0
2023-08-30,43.5
2023-08-29,42.5
2023-08-28,43.5
2023-08-28,42.5
2023-08-27,44.0
2023-08-25,43.5
2023-08-22,42.5
2023-08-21,43.75
2023-08-21,42.5
2023-08-18,44.0
2023-08-17,43.5
2023-08-16,43.0
2023-08-16,44.0
2023-08-15,42.5
2023-08-14,43.5
2023-08-14,42.5
2023-08-11,43.5
2023-08-09,43.0
2023-08-08,46.0
2023-08-07,44.25
2023-08-07,42.5
2023-08-06,44.0
2023-08-04,44.0
2023-08-02,43.5
2023-08-01,43.5
2023-08-02,43.5
2023-07-31,43.5
2023-07-31,42.0
2023-07-28,43.5
2023-07-27,43.0
2023-07-25,43.5
2023-07-24,44.0
2023-07-24,42.0
2023-07-21,43.5
2023-07-19,43.0
2023-07-19,44.5
2023-07-18,43.5
2023-07-17,43.25
2023-07-17,43.0
2023-07-14,43.0
2023-07-13,43.5
2023-07-11,43.5
2023-07-10,43.25
2023-07-09,43.5
2023-07-07,42.5
2023-07-07,43.0
2023-07-05,43.5
2023-07-04,46.0
2023-07-04,43.0
2023-07-03,43.25
2023-07-03,43.0
2023-07-03,42.5
2023-06-30,43.0
2023-06-29,43.5
2023-06-27,42.5
2023-06-26,43.25
2023-06-26,43.0
2023-06-25,43.25
2023-06-23,43.0
2023-06-22,45.0
2023-06-21,43.0
2023-06-20,44.0
2023-06-19,43.75
2023-06-19,43.0
2023-06-16,43.5
2023-06-16,43.5
2023-06-15,43.5
2023-06-13,43.5
2023-06-12,43.75
2023-06-12,43.5
2023-06-09,43.5
2023-06-07,43.0
2023-06-06,43.5
2023-06-05,43.5
2023-06-05,44.0
2023-06-05,43.0
2023-06-04,47.0
2023-06-02,44.0
2023-06-02,43.5
2023-05-31,43.5
2023-05-30,44.0
2023-05-30,43.5
2023-05-26,42.5
2023-05-26,44.0
2023-05-25,43.5
2023-05-23,43.0
2023-05-22,43.75
2023-05-22,42.5
2023-05-19,44.0
2023-05-16,43.0
2023-05-15,43.75
2023-05-15,43.0
2023-05-12,44.0
2023-05-10,43.0
2023-05-10,44.5
2023-05-09,43.0
2023-05-09,44.0
2023-05-08,43.75
2023-05-08,43.0
2023-05-07,43.5
2023-05-05,43.5
2023-05-04,43.5
2023-05-03,43.0
2023-05-02,43.75
2023-05-02,44.0
2023-04-30,44.0
2023-04-28,43.0
2023-04-28,43.5
2023-04-25,43.5
2023-04-24,43.5
2023-04-24,43.0
2023-04-21,44.0
2023-04-20,44.0
2023-04-18,43.5
2023-04-18,44.75
2023-04-17,43.75
2023-04-17,43.0
2023-04-14,43.5
2023-04-12,43.5
2023-04-11,43.5
2023-04-11,43.5
2023-04-06,43.5
2023-04-06,44.0
2023-04-05,43.5
2023-04-04,44.0
2023-04-04,47.0
2023-04-04,43.5
2023-04-03,43.5
2023-04-03,44.0
2023-04-03,43.0
2023-03-31,44.0
2023-03-30,44.0
2023-03-28,43.5
2023-03-27,44.0
2023-03-27,43.0
2023-03-26,42.75
2023-03-24,44.0
2023-03-21,43.0
2023-03-20,44.0
2023-03-20,43.0
2023-03-17,44.0
2023-03-16,41.5
2023-03-15,43.0
2023-03-15,44.75
2023-03-14,43.5
2023-03-13,44.5
2023-03-13,43.0
2023-03-10,44.0
2023-03-07,47.0
2023-03-07,43.5
2023-03-06,44.0
2023-03-06,40.5
2023-03-04,43.5
2023-03-03,44.0
2023-03-02,41.5
2023-03-01,43.0
2023-03-01,42.5
2023-02-28,46.0
2023-02-27,44.25
2023-02-27,40.5
2023-02-24,44.0
2023-02-21,44.0
2023-02-20,44.25
2023-02-20,43.5
2023-02-20,43.0
2023-02-17,44.5
2023-02-16,41.5
2023-02-15,43.0
2023-02-14,43.5
2023-02-13,43.75
2023-02-13,43.0
2023-02-10,44.0
2023-02-09,45.5
2023-02-09,45.0
2023-02-07,43.5
2023-02-06,43.75
2023-02-06,43.5
2023-02-03,43.5
2023-02-03,44.0
2023-02-01,43.5
2023-01-31,43.5
2023-01-30,43.75
2023-01-30,43.0
2023-01-27,43.5
2023-01-27,43.5
2023-01-26,47.0
2023-01-24,44.0
2023-01-23,43.75
2023-01-23,43.0
2023-01-21,43.0
2023-01-18,43.5
2023-01-18,44.5
2023-01-17,43.5
2023-01-16,43.75
2023-01-16,44.0
2023-01-16,43.0
2023-01-13,43.5
2023-01-12,47.0
2023-01-12,43.5
2023-01-10,46.0
2023-01-10,46.0
2023-01-10,43.0
2023-01-09,43.5
2023-01-09,43.5
2023-01-06,43.5
2023-01-04,43.5
2023-01-03,43.0
2023-01-02,43.5
2022-12-29,43.0
2022-12-22,43.5
2022-12-21,43.5
2022-12-19,44.0
2022-12-19,43.0
2022-12-16,44.0
2022-12-15,43.5
2022-12-15,44.5
2022-12-15,44.75
2022-12-12,44.5
2022-12-12,43.0
2022-12-12,43.0
2022-12-09,42.75
2022-12-09,44.0
2022-12-07,43.0
2022-12-06,43.0
2022-12-05,43.5
2022-12-05,43.0
2022-12-03,46.0
2022-12-02,43.5
2022-12-02,44.0
2022-12-01,43.0
2022-11-30,40.5
2022-11-29,43.0
2022-11-28,43.75
2022-11-28,43.0
2022-11-25,44.0
2022-11-24,44.5
2022-11-22,43.5
2022-11-21,43.75
2022-11-21,43.0
2022-11-18,43.5
2022-11-17,45.25
2022-11-15,43.0
2022-11-14,43.75
2022-11-14,43.5
2022-11-11,44.5
2022-11-10,42.0
2022-11-09,43.0
2022-11-09,45.0
2022-11-08,44.25
2022-11-08,44.0
2022-11-07,46.0
2022-11-07,44.0
2022-11-07,43.0
2022-11-04,44.0
2022-11-02,43.0
2022-11-02,44.0
2022-10-31,44.25
2022-10-31,43.5
2022-10-28,44.0
2022-10-25,44.0
2022-10-25,43.5
2022-10-24,44.0
2022-10-24,43.5
2022-10-21,44.25
2022-10-21,44.0
2022-10-20,44.5
2022-10-18,44.0
2022-10-17,44.25
2022-10-17,43.5
2022-10-14,44.0
2022-10-13,44.75
2022-10-12,43.0
2022-10-12,45.5
2022-10-11,43.5
2022-10-10,43.0
2022-10-10,44.25
2022-10-09,46.0
2022-10-07,44.0
2022-10-06,43.5
2022-10-05,43.0
2022-10-04,46.5
2022-10-03,46.75
2022-09-30,43.0
2022-09-30,47.0
2022-09-29,44.0
2022-09-27,44.0
2022-09-26,46.75
2022-09-26,43.0
2022-09-23,44.0
2022-09-22,43.75
2022-09-20,43.5
2022-09-20,43.5
2022-09-19,46.5
2022-09-19,43.0
2022-09-16,46.0
2022-09-14,43.5
2022-09-14,47.25
2022-09-13,45.5
2022-09-13,43.5
2022-09-13,43.0
2022-09-12,46.5
2022-09-11,45.5
2022-09-09,43.5
2022-09-08,44.5
2022-09-06,43.0
2022-09-05,46.5
2022-09-05,43.0
2022-09-04,46.0
2022-09-02,44.0
2022-08-31,43.5
2022-08-30,43.5
2022-08-29,46.75
2022-08-29,43.0
2022-08-26,44.5
2022-08-25,43.0
2022-08-23,43.5
2022-08-22,46.75
2022-08-22,43.5
2022-08-19,44.0
2022-08-18,44.5
2022-08-18,44.75
2022-08-17,44.0
2022-08-16,44.5
2022-08-15,44.5
2022-08-15,43.0
2022-08-12,44.5
2022-08-12,44.0
2022-08-11,45.0
2022-08-10,46.5
2022-08-09,44.0
2022-08-08,43.5
2022-08-08,46.25
2022-08-08,42.5
2022-08-05,44.0
2022-08-03,44.0
2022-08-02,43.0
2022-08-01,43.5
2022-08-01,43.0
2022-07-29,44.0
2022-07-26,43.5
2022-07-25,43.5
2022-07-25,43.5
2022-07-25,42.5
2022-07-22,44.0
2022-07-21,44.75
2022-07-20,43.5
2022-07-20,44.5
2022-07-19,43.0
2022-07-18,43.5
2022-07-18,42.5
2022-07-18,43.5
2022-07-15,43.0
2022-07-14,44.5
2022-07-12,44.0
2022-07-11,43.75
2022-07-11,42.5
2022-07-08,43.5
2022-07-06,43.5
2022-07-06,44.0
2022-07-05,43.0
2022-07-05,43.0
2022-07-04,44.25
2022-07-04,43.5
2022-07-02,43.5
2022-07-02,44.5
2022-06-30,44.5
2022-06-28,44.5
2022-06-27,44.0
2022-06-27,43.5
2022-06-26,43.5
2022-06-24,44.0
2022-06-22,44.5
2022-06-21,44.0
2022-06-20,44.0
2022-06-20,43.5
2022-06-20,43.5
2022-06-17,43.5
2022-06-17,45.0
2022-06-15,44.5
2022-06-14,43.5
2022-06-13,44.25
2022-06-13,43.5
2022-06-10,44.0
2022-06-08,46.0
2022-06-07,44.0
2022-06-07,47.0
2022-06-07,44.25
2022-06-07,44.0
2022-06-03,43.5
2022-06-03,43.5
2022-06-01,44.0
2022-06-01,43.75
2022-05-31,43.5
2022-05-30,44.0
2022-05-30,43.5
2022-05-30,44.0
2022-05-27,43.5
2022-05-24,43.0
2022-05-23,44.75
2022-05-23,44.0
2022-05-23,44.0
2022-05-20,44.0
2022-05-19,44.5
2022-05-18,45.25
2022-05-17,43.5
2022-05-16,44.25
2022-05-16,45.0
2022-05-16,43.5
2022-05-13,43.5
2022-05-11,43.5
2022-05-10,43.0
2022-05-10,43.5
2022-05-09,44.75
2022-05-09,44.75
2022-05-09,44.0
2022-05-06,43.5
2022-05-06,44.5
2022-05-04,44.5
2022-05-03,43.5
2022-05-02,44.5
2022-05-02,43.5
2022-04-29,44.0
2022-04-28,44.5
2022-04-27,44.0
2022-04-26,43.0
2022-04-25,44.5
2022-04-25,43.5
2022-04-25,43.5
2022-04-25,44.5
2022-04-23,44.25
2022-04-22,44.0
2022-04-19,43.5
2022-04-18,44.25
2022-04-14,43.5
2022-04-14,44.0
2022-04-12,43.5
2022-04-12,46.0
2022-04-12,44.0
2022-04-11,44.75
2022-04-11,43.5
2022-04-08,44.0
2022-04-07,44.5
2022-04-06,44.0
2022-04-06,46.5
2022-04-05,44.5
2022-04-04,44.5
2022-04-04,44.75
2022-04-01,46.5
2022-04-04,43.5
2022-04-01,44.5
2022-03-29,43.5
2022-03-28,46.75
2022-03-28,43.0
2022-03-25,44.5
2022-03-22,46.5
2022-03-21,44.75
2022-03-21,43.5
2022-03-21,43.75
2022-03-20,44.5
2022-03-18,44.0
2022-03-16,44.0
2022-03-15,44.0
2022-03-14,43.5
2022-03-14,43.5
2022-03-11,46.0
2022-03-10,44.0
2022-03-08,45.5
2022-03-08,44.0
2022-03-07,46.25
2022-03-04,46.5
2022-03-07,45.5
2022-03-04,46.5
2022-03-02,43.5
2022-03-01,46.5
2022-02-28,46.75
2022-02-28,45.5
2022-02-27,44.5
2022-02-26,45.5
2022-02-25,47.0
2022-02-23,46.5
2022-02-22,47.0
2022-02-21,47.0
2022-02-21,45.5
2022-02-18,47.0
2022-02-16,43.0
2022-02-16,45.75
2022-02-15,45.75
2022-02-15,46.0
2022-02-15,46.0
2022-02-14,46.75
2022-02-14,45.0
2022-02-11,46.5
2022-02-10,46.0
2022-02-08,47.0
2022-02-08,46.0
2022-02-07,47.0
2022-02-04,46.5
2022-02-07,45.0
2022-02-04,46.5
2022-02-03,46.0
2022-02-03,46.0
2022-02-02,43.5
2022-02-01,45.5
2022-01-31,46.5
2022-01-31,45.5
2022-01-28,47.0
2022-01-27,46.0
2022-01-25,46.0
2022-01-25,46.0
2022-01-24,46.75
2022-01-24,45.5
2022-01-21,47.5
2022-01-20,46.5
2022-01-19,43.5
2022-01-18,43.75
2022-01-18,46.0
2022-01-17,47.0
2022-01-17,43.0
2022-01-14,44.5
2022-01-13,46.0
2022-01-11,46.0
2022-01-10,44.25
2022-01-10,43.0
2022-01-09,45.0
2022-01-07,44.5
2022-01-05,43.5
2022-01-03,46.75
2022-01-03,44.5
2021-12-30,44.0
2021-12-23,44.0
2021-12-20,46.75
2021-12-20,42.5
2021-12-19,43.75
2021-12-18,44.0
2021-12-16,43.5
2021-12-15,44.25
2021-12-14,46.5
2021-12-14,43.0
2021-12-13,46.75
2021-12-13,42.5
2021-12-10,43.5
2021-12-09,44.0
2021-12-08,44.0
2021-12-08,43.5
2021-12-07,43.0
2021-12-06,46.75
2021-12-06,44.0
2021-12-06,42.5
2021-12-03,43.5
2021-12-01,44.0
2021-12-01,43.5
2021-11-30,46.0
2021-11-29,46.25
2021-11-29,42.5
2021-11-26,46.5
2021-11-25,44.0
2021-11-24,43.5
2021-11-24,43.25
2021-11-24,43.0
2021-11-23,46.5
2021-11-23,46.0
2021-11-22,46.25
2021-11-22,42.5
2021-11-19,43.5
2021-11-17,43.5
2021-11-16,46.0
2021-11-15,46.5
2021-11-15,42.5
2021-11-12,43.5
2021-11-11,44.0
2021-11-11,47.0
2021-11-10,43.5
2021-11-09,46.0
2021-11-08,46.25
2021-11-08,43.0
2021-11-05,44.0
2021-11-05,44.25
2021-11-04,44.0
2021-11-03,43.5
2021-11-03,43.5
2021-11-02,43.0
2021-11-01,44.0
2021-11-01,43.0
2021-10-29,44.0
2021-10-28,44.0
2021-10-27,43.5
2021-10-27,43.5
2021-10-26,44.0
2021-10-25,44.5
2021-10-25,43.5
2021-10-22,44.5
2021-10-20,46.0
2021-10-19,43.0
2021-10-18,44.5
2021-10-18,43.0
2021-10-15,43.5
2021-10-14,44.0
2021-10-14,43.75
2021-10-13,46.0
2021-10-12,43.0
2021-10-11,44.75
2021-10-10,43.75
2021-10-11,42.5
2021-10-08,43.5
2021-10-06,46.5
2021-10-05,43.0
2021-10-04,44.0
2021-10-04,42.5
2021-10-01,43.5
2021-09-30,43.5
2021-09-26,43.2
