Date,Government,Opposition
2025-05-26,42.0,45.5
2025-05-26,41.0,46.0
2025-05-23,43.0,45.0
2025-05-22,42.0,45.0
2025-05-20,41.0,46.0
2025-05-19,41.5,45.5
2025-05-19,40.0,45.0
2025-05-19,41.0,46.0
2025-05-16,42.0,46.0
2025-04-15,42.0,51.0
2025-05-14,45.0,43.5
2025-05-12,42.0,46.0
2025-05-12,41.0,45.5
2025-05-12,40.0,46.0
2025-05-10,40.0,52.0
2025-05-09,41.0,45.0
2025-05-06,43.0,44.0
2025-05-05,40.5,45.5
2025-05-02,40.0,47.0
2025-05-02,41.0,46.0
2025-04-30,42.0,44.0
2025-04-30,42.5,47.0
2025-04-28,40.0,53.0
2025-04-28,40.5,46.0
2025-04-28,38.0,48.0
2025-04-25,40.0,47.0
2025-04-22,40.0,51.0
2025-04-22,42.0,45.0
2025-04-17,40.0,46.0
2025-04-17,41.0,50.0
2025-04-14,41.5,45.5
2025-04-14,40.0,46.0
2025-04-11,41.0,50.0
2025-04-10,41.0,46.0
2025-04-09,43.0,45.5
2025-04-07,40.5,45.5
2025-04-07,41.0,46.0
2025-04-07,40.0,46.0
2025-04-05,39.0,52.0
2025-04-04,40.0,46.0
2025-04-02,42.0,45.0
2025-03-31,42.0,46.0
2025-03-31,40.0,46.0
2025-03-28,42.0,50.0
2025-03-25,42.0,45.0
2025-03-24,41.0,51.0
2025-03-24,41.5,46.0
2025-03-24,41.0,45.0
2025-03-21,42.0,50.0
2025-03-20,43.0,44.0
2025-03-17,44.5,48.5
2025-03-17,41.0,46.0
2025-03-14,44.0,48.0
2025-03-11,45.0,42.5
2025-03-10,45.0,43.0
2025-03-10,43.0,44.0
2025-03-07,44.0,47.0
2025-03-06,43.0,44.0
2025-03-05,45.0,47.0
2025-03-03,45.0,47.5
2025-03-03,43.0,45.0
2025-03-01,44.0,48.0
2025-02-28,45.0,47.0
2025-02-23,44.9,41.2
