Date,Macron Approve,Macron Disapprove,Macron Unsure
2019-12-13,0.3,0.65,0.05
2019-12-12,0.34,0.66,0.0
,0.35,0.65,0.0
2019-12-23,0.29,0.63,0.08
2019-11-30,0.27,0.7,0.03
2019-11-28,0.39,0.61,0.0
2019-11-21,0.34,0.65,0.01
2019-11-16,0.33,0.65,0.02
2019-11-16,0.33,0.63,0.04
2019-11-14,0.36,0.64,0.0
,0.36,0.63,0.01
,0.28,0.65,0.07
2019-10-29,0.27,0.65,0.08
2019-10-26,0.3,0.67,0.03
2019-10-24,0.35,0.65,0.0
2019-10-24,0.4,0.6,0.0
2019-10-19,0.34,0.64,0.02
2019-10-17,0.37,0.62,0.01
2019-10-12,0.33,0.62,0.05
2019-10-23,0.37,0.63,0.0
2019-10-12,0.33,0.6,0.07
,0.28,0.65,0.07
2019-09-30,0.29,0.67,0.04
2019-09-26,0.42,0.58,0.0
2019-09-19,0.37,0.63,0.0
2019-09-21,0.33,0.64,0.03
2019-09-19,0.36,0.63,0.01
2019-09-14,0.36,0.59,0.05
,0.33,0.61,0.06
2019-09-23,0.28,0.63,0.09
2019-09-02,0.32,0.66,0.02
2019-08-30,0.38,0.62,0.0
2019-08-29,0.43,0.57,0.0
2019-08-22,0.34,0.66,0.0
2019-07-31,0.28,0.67,0.05
2019-07-30,0.22,0.7,0.08
2019-07-23,0.31,0.64,0.05
2019-07-12,0.26,0.66,0.08
,0.27,0.69,0.04
2019-06-27,0.38,0.62,0.0
2019-06-27,0.4,0.6,0.0
2019-06-22,0.3,0.67,0.03
2019-06-20,0.35,0.65,0.0
2019-06-20,0.36,0.64,0.0
2019-06-15,0.32,0.64,0.04
,0.33,0.65,0.02
,0.32,0.63,0.05
,0.25,0.68,0.07
2019-05-31,0.29,0.68,0.03
2019-05-30,0.4,0.6,0.0
2019-05-29,0.32,0.68,0.0
2019-05-27,0.3,0.7,0.0
2019-05-18,0.3,0.67,0.03
2019-05-16,0.32,0.68,0.0
2019-05-16,0.32,0.65,0.03
2019-05-11,0.27,0.68,0.05
,0.27,0.67,0.06
2019-05-23,0.3,0.7,0.0
2019-04-29,0.26,0.65,0.09
2019-04-29,0.26,0.66,0.08
2019-04-27,0.25,0.72,0.03
2019-04-25,0.38,0.62,0.0
2019-04-20,0.29,0.69,0.02
2019-04-18,0.32,0.67,0.01
2019-04-18,0.32,0.67,0.01
2019-04-18,0.27,0.7,0.03
,0.27,0.69,0.04
2019-04-23,0.28,0.69,0.03
2019-04-01,0.26,0.71,0.03
2019-03-29,0.29,0.71,0.0
2019-03-28,0.29,0.7,0.01
2019-03-28,0.25,0.68,0.07
2019-03-28,0.38,0.62,0.0
2019-03-23,0.29,0.69,0.02
2019-03-21,0.29,0.7,0.01
2019-03-21,0.3,0.7,0.0
2019-03-21,0.29,0.69,0.02
2019-03-14,0.32,0.66,0.02
,0.31,0.66,0.03
2019-03-12,0.28,0.67,0.05
2019-03-01,0.31,0.69,0.0
2019-02-28,0.24,0.7,0.07
2019-02-25,0.26,0.71,0.03
2019-02-22,0.39,0.61,0.0
2019-02-21,0.3,0.69,0.01
2019-02-21,0.32,0.68,0.0
2019-02-20,0.28,0.61,0.11
2019-02-16,0.28,0.71,0.01
2019-02-15,0.29,0.69,0.02
,0.27,0.69,0.04
,0.34,0.66,0.0
2019-01-31,0.21,0.73,0.06
2019-01-28,0.24,0.73,0.03
2019-01-24,0.31,0.69,0.0
2019-01-24,0.35,0.65,0.0
2019-01-23,0.3,0.69,0.01
2019-01-19,0.27,0.72,0.01
2019-01-18,0.3,0.68,0.02
2019-01-12,0.23,0.74,0.03
,0.25,0.71,0.04
,0.21,0.72,0.07
,0.22,0.75,0.03
,0.28,0.72,0.0
2018-12-26,0.31,0.69,0.0
2018-12-19,0.27,0.72,0.01
2018-12-15,0.23,0.76,0.01
2018-12-14,0.27,0.73,0.0
2018-12-13,0.31,0.67,0.02
,0.2,0.76,0.04
,0.23,0.74,0.03
2018-12-03,0.21,0.77,0.02
2018-11-30,0.23,0.76,0.01
2018-11-29,0.23,0.69,0.08
2018-11-29,0.18,0.76,0.06
2018-11-29,0.32,0.68,0.0
2018-11-22,0.26,0.73,0.01
2018-11-17,0.26,0.7,0.04
2018-11-17,0.25,0.73,0.02
2018-11-16,0.32,0.68,0.0
2018-11-15,0.29,0.69,0.02
,0.27,0.69,0.04
2018-10-27,0.26,0.71,0.03
2018-10-26,0.29,0.71,0.0
2018-10-25,0.29,0.7,0.01
2018-10-25,0.21,0.69,0.1
2018-10-25,0.33,0.67,0.0
2018-10-22,0.26,0.65,0.09
2018-10-20,0.26,0.7,0.04
2018-10-20,0.29,0.7,0.01
2018-10-18,0.29,0.68,0.03
,0.33,0.66,0.01
2018-10-23,0.3,0.66,0.04
,0.3,0.67,0.03
2018-09-28,0.33,0.67,0.0
2018-09-27,0.32,0.67,0.01
2018-09-27,0.25,0.67,0.07
2018-09-27,0.34,0.66,0.0
2018-09-22,0.29,0.7,0.01
2018-09-20,0.28,0.7,0.02
,0.25,0.69,0.06
,0.29,0.71,0.0
,0.31,0.64,0.05
2018-08-31,0.31,0.69,0.0
2018-08-30,0.34,0.66,0.0
2018-08-30,0.23,0.69,0.08
2018-08-30,0.36,0.64,0.0
2018-08-27,0.33,0.64,0.03
2018-08-24,0.34,0.66,0.0
2018-08-21,0.36,0.51,0.13
2018-08-01,0.36,0.6,0.04
2018-07-27,0.39,0.61,0.0
2018-07-26,0.27,0.62,0.11
2018-07-26,0.42,0.58,0.0
2018-07-21,0.32,0.6,0.08
2018-07-19,0.39,0.59,0.02
2018-07-19,0.35,0.62,0.03
,0.34,0.6,0.06
,0.32,0.64,0.04
2018-06-29,0.41,0.59,0.0
2018-06-28,0.32,0.59,0.1
2018-06-28,0.4,0.6,0.0
2018-06-23,0.36,0.59,0.05
2018-06-23,0.4,0.58,0.02
2018-06-22,0.41,0.59,0.0
2018-06-21,0.41,0.53,0.06
2018-06-21,0.42,0.59,0.0
2018-06-12,0.37,0.51,0.12
,0.4,0.55,0.05
2018-06-01,0.43,0.57,0.0
2018-05-31,0.33,0.54,0.13
2018-05-31,0.47,0.53,0.0
2018-05-28,0.38,0.57,0.05
2018-05-26,0.41,0.57,0.02
2018-05-24,0.4,0.56,0.04
2018-05-19,0.37,0.58,0.05
2018-05-17,0.44,0.54,0.02
2018-05-16,0.46,0.54,0.0
,0.41,0.53,0.06
2018-04-27,0.45,0.55,0.0
2018-04-26,0.33,0.54,0.13
2018-04-26,0.5,0.5,0.0
2018-04-26,0.41,0.56,0.03
2018-04-21,0.4,0.52,0.08
2018-04-21,0.44,0.55,0.01
2018-04-19,0.43,0.54,0.03
2018-04-19,0.47,0.53,0.0
2018-04-19,0.44,0.53,0.03
2018-04-17,0.41,0.46,0.13
,0.39,0.55,0.06
2018-03-31,0.4,0.56,0.05
2018-03-30,0.45,0.55,0.0
2018-03-29,0.49,0.51,0.0
2018-03-28,0.32,0.56,0.12
2018-03-23,0.45,0.54,0.01
2018-03-22,0.4,0.57,0.03
2018-03-17,0.37,0.55,0.08
2018-03-17,0.42,0.57,0.01
2018-03-15,0.46,0.52,0.02
2018-03-13,0.44,0.55,0.01
2018-02-28,0.41,0.52,0.07
2018-02-27,0.43,0.53,0.04
2018-02-26,0.43,0.53,0.04
2018-02-23,0.41,0.45,0.14
2018-02-22,0.43,0.57,0.0
2018-02-22,0.3,0.58,0.12
2018-02-22,0.49,0.51,0.0
2018-02-17,0.44,0.55,0.01
2018-02-15,0.47,0.5,0.03
2018-02-10,0.35,0.55,0.1
2018-02-23,0.48,0.51,0.01
2018-01-31,0.38,0.56,0.06
2018-01-30,0.47,0.48,0.05
2018-01-29,0.44,0.51,0.05
2018-01-25,0.41,0.45,0.13
2018-01-25,0.52,0.48,0.0
2018-01-20,0.5,0.49,0.01
2018-01-18,0.49,0.5,0.01
2018-01-18,0.51,0.47,0.02
2018-01-13,0.4,0.49,0.11
,0.44,0.51,0.05
,0.53,0.45,0.02
,0.41,0.46,0.13
2018-01-23,0.42,0.5,0.08
2017-12-28,0.52,0.47,0.01
2017-12-21,0.49,0.5,0.01
2017-12-19,0.52,0.45,0.03
2017-12-16,0.52,0.46,0.02
2017-12-14,0.54,0.46,0.0
2017-12-13,0.46,0.38,0.16
,0.39,0.5,0.11
2017-12-12,0.5,0.48,0.02
2017-11-30,0.35,0.5,0.15
2017-11-30,0.46,0.53,0.01
2017-11-29,0.4,0.54,0.06
2017-11-28,0.46,0.51,0.03
2017-11-27,0.42,0.54,0.04
2017-11-23,0.45,0.55,0.0
2017-11-18,0.46,0.52,0.02
2017-11-16,0.45,0.52,0.03
2017-11-11,0.37,0.53,0.1
2017-11-02,0.4,0.46,0.14
2017-10-31,0.38,0.56,0.06
2017-10-28,0.44,0.55,0.01
2017-10-28,0.38,0.57,0.05
2017-10-27,0.32,0.55,0.13
2017-10-26,0.48,0.52,0.0
2017-10-25,0.42,0.56,0.02
2017-10-21,0.42,0.56,0.02
2017-10-19,0.44,0.56,0.0
2017-10-19,0.44,0.51,0.05
2017-10-14,0.34,0.54,0.12
,0.4,0.54,0.06
,0.39,0.56,0.05
2017-09-30,0.44,0.55,0.01
2017-09-28,0.32,0.56,0.12
2017-09-28,0.49,0.51,0.0
2017-09-26,0.45,0.51,0.04
2017-09-23,0.45,0.53,0.02
2017-09-21,0.41,0.56,0.03
2017-09-14,0.44,0.56,0.0
2017-09-13,0.38,0.47,0.15
,0.32,0.54,0.14
,0.37,0.58,0.05
2017-09-12,0.46,0.54,0.0
2017-08-29,0.43,0.55,0.02
2017-08-29,0.3,0.54,0.15
2017-08-28,0.41,0.52,0.07
2017-08-26,0.4,0.57,0.03
2017-08-24,0.46,0.54,0.0
2017-08-17,0.41,0.56,0.03
2017-08-12,0.4,0.55,0.05
2017-07-27,0.36,0.49,0.14
2017-07-27,0.51,0.49,0.0
2017-07-22,0.42,0.42,0.16
2017-07-22,0.54,0.43,0.03
2017-07-20,0.6,0.36,0.04
2017-07-18,0.54,0.44,0.02
,0.56,0.42,0.02
,0.45,0.46,0.09
2017-06-30,0.43,0.36,0.21
2017-06-29,0.59,0.41,0.0
2017-06-26,0.53,0.27,0.2
2017-06-26,0.54,0.39,0.07
2017-06-24,0.45,0.27,0.28
2017-06-24,0.64,0.35,0.01
2017-06-22,0.58,0.41,0.01
2017-06-20,0.59,0.39,0.02
2017-06-17,0.6,0.38,0.02
,0.45,0.45,0.1
2017-05-29,0.57,0.38,0.05
2017-05-26,0.57,0.43,0.0
2017-05-25,0.39,0.32,0.29
2017-05-23,0.62,0.35,0.03
2017-05-23,0.58,0.41,0.01
2017-05-22,0.49,0.3,0.21
2017-05-20,0.62,0.31,0.07
2017-05-20,0.66,0.3,0.04
2017-05-20,0.46,0.27,0.27
2017-05-17,0.45,0.46,0.09
