Date,Starmer,Badenoch,None
2025-07-11,0.26744186046511625,0.16279069767441862,0.5697674418604651
2025-07-06,0.37894736842105264,0.37894736842105264,0.24210526315789474
2025-06-27,0.2823529411764706,0.1411764705882353,0.5764705882352941
2025-06-16,0.3111111111111111,0.17777777777777778,0.5111111111111111
2025-06-13,0.29069767441860467,0.13953488372093023,0.5697674418604651
2025-06-08,0.3655913978494624,0.40860215053763443,0.22580645161290322
2025-05-30,0.2891566265060241,0.13253012048192772,0.5783132530120482
2025-05-19,0.5538461538461539,0.38461538461538464,0.06153846153846154
2025-05-16,0.27586206896551724,0.14942528735632185,0.5747126436781609
2025-05-11,0.3829787234042553,0.35106382978723405,0.26595744680851063
2025-05-02,0.2976190476190476,0.16666666666666666,0.5357142857142857
2025-04-25,0.2976190476190476,0.16666666666666666,0.5357142857142857
2025-04-11,0.3333333333333333,0.15476190476190477,0.5119047619047619
2025-04-06,0.3333333333333333,0.4166666666666667,0.25
2025-03-28,0.30952380952380953,0.15476190476190477,0.5357142857142857
2025-03-21,0.2976190476190476,0.16666666666666666,0.5357142857142857
2025-03-17,0.358695652173913,0.17391304347826086,0.4673913043478261
2025-03-07,0.3373493975903614,0.1566265060240964,0.5060240963855421
2025-03-02,0.391304347826087,0.3695652173913043,0.2391304347826087
2025-02-21,0.29411764705882354,0.17647058823529413,0.5294117647058824
2025-02-07,0.5081967213114754,0.32786885245901637,0.16393442622950818
2025-02-07,0.2823529411764706,0.17647058823529413,0.5411764705882353
2025-02-02,0.35106382978723405,0.39361702127659576,0.2553191489361702
2025-01-10,0.30952380952380953,0.19047619047619047,0.5
2025-01-06,0.3655913978494624,0.40860215053763443,0.22580645161290322
2024-12-20,0.3048780487804878,0.1951219512195122,0.5
2024-12-17,0.4155844155844156,0.23376623376623376,0.35064935064935066
2024-12-10,0.28,0.23,0.49
2024-11-27,0.5094339622641509,0.41509433962264153,0.07547169811320754
2024-11-11,0.3448275862068966,0.21839080459770116,0.4367816091954023
