Date,Biden,Trump
2020-11-03,52.2718011409943,47.72819885900571
2020-10-31,53.608247422680414,46.391752577319586
2020-10-31,55.208333333333336,44.79166666666667
2020-10-31,54.347826086956516,45.65217391304348
2020-10-29,52.083333333333336,47.91666666666667
2020-10-29,52.57731958762887,47.42268041237113
2020-10-20,56.25,43.75
2020-10-20,55.670103092783506,44.329896907216494
2020-11-01,53.06122448979592,46.93877551020408
2020-11-01,52.74725274725275,47.25274725274725
2020-11-01,53.608247422680414,46.391752577319586
2020-10-30,56.38297872340425,43.61702127659575
2020-10-30,52.52525252525253,47.474747474747474
2020-10-30,55.208333333333336,44.79166666666667
2020-10-29,55.319148936170215,44.680851063829785
2020-10-29,55.91397849462365,44.086021505376344
2020-10-29,54.347826086956516,45.65217391304348
2020-10-28,56.17977528089888,43.82022471910113
2020-10-28,50.526315789473685,49.473684210526315
2020-10-30,55.172413793103445,44.827586206896555
2020-10-29,53.06122448979592,46.93877551020408
2020-10-29,54.166666666666664,45.83333333333333
2020-10-29,53.06122448979592,46.93877551020408
2020-10-29,53.68421052631579,46.31578947368421
2020-10-29,55.78947368421052,44.21052631578947
2020-10-29,52.63157894736842,47.368421052631575
2020-10-29,54.166666666666664,45.83333333333333
2020-10-29,55.319148936170215,44.680851063829785
2020-10-27,52.12765957446809,47.87234042553192
2020-10-27,52.63157894736842,47.368421052631575
2020-10-28,55.10204081632652,44.89795918367347
2020-10-27,53.191489361702125,46.808510638297875
2020-10-27,54.736842105263165,45.26315789473684
2020-10-27,54.166666666666664,45.83333333333333
2020-10-26,57.291666666666664,42.70833333333333
2020-10-27,53.535353535353536,46.464646464646464
2020-10-27,54.0,46.0
2020-10-26,52.57731958762887,47.42268041237113
2020-10-26,50.526315789473685,49.473684210526315
2020-10-26,52.04081632653062,47.95918367346938
2020-10-26,57.291666666666664,42.70833333333333
2020-10-25,52.12765957446809,47.87234042553192
2020-10-25,53.0,47.0
2020-10-23,54.08163265306123,45.91836734693878
2020-10-26,56.62650602409639,43.373493975903614
