Date,Biden,Trump
2020-11-03,51.31,46.85
2020-10-31,52.0,45.0
2020-10-31,53.0,43.0
2020-10-31,50.0,42.0
2020-10-29,50.0,46.0
2020-10-29,51.0,46.0
2020-10-20,54.0,42.0
2020-10-20,54.0,43.0
2020-11-01,52.0,46.0
2020-11-01,48.0,43.0
2020-11-01,52.0,45.0
2020-10-30,53.0,41.0
2020-10-30,52.0,47.0
2020-10-30,53.0,43.0
2020-10-29,52.0,42.0
2020-10-29,52.0,41.0
2020-10-29,50.0,42.0
2020-10-28,50.0,39.0
2020-10-28,48.0,47.0
2020-10-30,48.0,39.0
2020-10-29,52.0,46.0
2020-10-29,52.0,44.0
2020-10-29,52.0,46.0
2020-10-29,51.0,44.0
2020-10-29,53.0,42.0
2020-10-29,50.0,45.0
2020-10-29,52.0,44.0
2020-10-29,52.0,42.0
2020-10-27,49.0,45.0
2020-10-27,50.0,45.0
2020-10-28,54.0,44.0
2020-10-27,50.0,44.0
2020-10-27,52.0,43.0
2020-10-27,52.0,44.0
2020-10-26,55.0,41.0
2020-10-27,53.0,46.0
2020-10-27,54.0,46.0
2020-10-26,51.0,46.0
2020-10-26,48.0,47.0
2020-10-26,51.0,47.0
2020-10-26,55.0,41.0
2020-10-25,49.0,45.0
2020-10-25,53.0,47.0
2020-10-23,53.0,45.0
2020-10-26,47.0,36.0
2020-10-25,54.0,43.0
2020-10-23,53.0,39.0
2020-10-23,52.0,42.0
2020-10-23,50.0,43.0
2020-10-23,52.0,44.0
2020-10-20,53.0,44.0
2020-10-25,51.0,41.0
2020-10-25,51.0,47.0
2020-10-24,52.0,43.0
2020-10-23,51.0,46.0
2020-10-23,48.0,43.0
2020-10-23,54.0,42.0
2020-10-22,49.0,39.0
2020-10-22,51.0,46.0
2020-10-22,50.0,46.0
2020-10-19,54.0,43.0
2020-10-16,52.0,41.0
2020-10-13,56.0,44.0
2020-10-25,52.0,45.0
2020-10-23,49.0,41.0
2020-10-23,52.0,46.0
2020-10-23,54.0,42.0
2020-10-21,47.0,48.0
2020-10-23,51.0,43.0
2020-10-23,51.0,44.0
2020-10-23,53.0,43.0
2020-10-23,50.0,46.0
2020-10-21,51.0,40.0
2020-10-21,52.0,43.0
2020-10-20,46.0,48.0
2020-10-20,48.0,46.0
2020-10-20,52.0,46.0
2020-10-20,51.0,43.0
2020-10-17,50.0,45.0
2020-10-17,50.0,46.0
2020-10-20,51.0,42.0
2020-10-20,54.0,44.0
2020-10-18,52.0,43.0
2020-10-18,52.0,43.0
2020-10-16,50.0,44.0
2020-10-16,51.0,44.0
2020-10-16,51.0,42.0
2020-10-14,49.0,46.0
2020-10-17,52.0,46.0
2020-10-16,53.0,43.0
2020-10-16,51.0,41.0
2020-10-15,53.0,43.0
2020-10-15,51.0,40.0
2020-10-15,53.0,40.0
2020-10-06,54.0,41.0
2020-10-06,54.0,42.0
2020-10-17,52.0,42.0
2020-10-17,51.0,40.0
2020-10-16,50.0,42.0
2020-10-16,50.0,41.0
2020-10-16,51.0,40.0
2020-10-15,50.0,41.0
2020-10-15,52.0,43.0
2020-10-15,51.0,43.0
2020-10-14,53.0,45.0
2020-10-12,50.0,43.0
2020-10-12,50.0,43.0
2020-10-13,46.0,42.0
2020-10-13,51.0,41.0
2020-10-12,52.0,43.0
2020-10-13,52.0,42.0
2020-10-11,52.0,46.0
2020-10-11,52.0,42.0
2020-10-10,47.0,40.0
2020-10-09,51.0,41.0
2020-10-08,54.0,43.0
2020-10-08,54.0,42.0
2020-10-07,50.0,45.0
2020-10-09,56.0,38.0
2020-10-09,54.0,40.0
2020-10-09,53.0,42.0
2020-10-08,51.0,36.0
2020-10-08,53.0,43.0
2020-10-08,52.0,38.0
2020-10-08,57.0,40.0
2020-10-07,49.0,38.0
