Date,Approval,Disapproval
2025-04-25,28.205128205128204,71.7948717948718
2025-04-21,28.205128205128204,71.7948717948718
2025-04-14,31.11111111111111,68.88888888888889
2025-04-14,27.631578947368425,72.36842105263158
2025-04-14,26.666666666666668,73.33333333333333
2025-04-11,31.25,68.75
2025-04-07,31.03448275862069,68.96551724137932
2025-04-07,31.57894736842105,68.42105263157895
2025-04-07,29.48717948717949,70.51282051282051
2025-04-01,26.229508196721312,73.77049180327869
2025-03-31,27.27272727272727,72.72727272727273
2025-03-28,28.947368421052634,71.05263157894737
2025-03-27,30.76923076923077,69.23076923076923
2025-03-26,36.486486486486484,63.51351351351351
2025-03-24,28.947368421052634,71.05263157894737
2025-03-21,31.16883116883117,68.83116883116884
2025-03-17,34.78260869565217,65.21739130434783
2025-03-17,38.666666666666664,61.33333333333333
2025-03-17,33.33333333333333,66.66666666666666
2025-03-17,32.0,68.0
2025-03-14,35.55555555555556,64.44444444444444
2025-03-11,32.608695652173914,67.3913043478261
2025-03-10,32.89473684210527,67.10526315789474
2025-03-09,37.333333333333336,62.66666666666667
2025-03-07,34.66666666666667,65.33333333333333
2025-03-05,34.44444444444444,65.55555555555556
2025-03-03,41.02564102564102,58.97435897435898
2025-03-03,31.57894736842105,68.42105263157895
2025-02-26,30.76923076923077,69.23076923076923
2025-02-24,24.675324675324674,75.32467532467533
2025-02-21,27.631578947368425,72.36842105263158
2025-02-18,38.46153846153847,61.53846153846154
2025-02-18,25.97402597402597,74.02597402597402
2025-02-17,28.26086956521739,71.73913043478261
2025-02-11,27.631578947368425,72.36842105263158
2025-02-10,24.050632911392405,75.9493670886076
2025-02-07,28.205128205128204,71.7948717948718
2025-02-03,24.324324324324326,75.67567567567568
2025-01-29,28.57142857142857,71.42857142857143
2025-01-29,37.9746835443038,62.0253164556962
2025-01-27,21.62162162162162,78.37837837837837
2025-01-24,27.631578947368425,72.36842105263158
2025-01-20,26.31578947368421,73.68421052631578
2025-01-20,31.182795698924732,68.81720430107528
2025-01-13,32.467532467532465,67.53246753246754
2025-01-13,24.675324675324674,75.32467532467533
2025-01-10,28.57142857142857,71.42857142857143
2025-01-03,27.659574468085108,72.3404255319149
2024-12-23,30.434782608695656,69.56521739130434
2024-12-20,28.947368421052634,71.05263157894737
2024-12-16,44.303797468354425,55.69620253164557
2024-12-13,27.472527472527474,72.52747252747253
2024-12-10,25.675675675675674,74.32432432432432
2024-12-04,30.681818181818183,69.31818181818183
2024-11-29,28.947368421052634,71.05263157894737
2024-11-27,32.05128205128205,67.94871794871796
2024-11-27,31.16883116883117,68.83116883116884
2024-11-18,32.22222222222222,67.77777777777779
2024-11-14,34.24657534246575,65.75342465753424
2024-11-13,33.33333333333333,66.66666666666666
2024-11-11,30.666666666666664,69.33333333333334
2024-11-11,33.33333333333333,66.66666666666666
2024-11-10,31.46067415730337,68.53932584269663
2024-10-31,31.944444444444443,68.05555555555556
2024-10-31,34.21052631578947,65.78947368421053
2024-10-20,38.46153846153847,61.53846153846154
2024-10-18,28.37837837837838,71.62162162162163
2024-10-10,24.324324324324326,75.67567567567568
2024-10-07,28.000000000000004,72.0
2024-10-07,32.967032967032964,67.03296703296702
2024-10-06,30.0,70.0
2024-10-04,31.57894736842105,68.42105263157895
2024-10-03,33.33333333333333,66.66666666666666
2024-09-27,30.263157894736842,69.73684210526315
2024-09-25,30.434782608695656,69.56521739130434
2024-09-22,33.33333333333333,66.66666666666666
2024-09-20,32.432432432432435,67.56756756756756
2024-09-09,35.714285714285715,64.28571428571429
